Date,Close_TATACHEM,Close_TATASTEEL,Close_TATACOMM,Close_TCS,Close_TATAMOTORS
1998-03-20,,,,,
1998-03-23,143.0,,,,
1998-03-24,143.95,,,,
1998-03-25,153.7,,,,
1998-03-26,151.2,,,,
1998-03-27,153.1,,,,
1998-03-30,149.7,,,,
1998-03-31,146.8,,,,
1998-04-01,152.55,,,,
1998-04-02,149.8,,,,
1998-04-03,148.75,,,,
1998-04-06,163.65,,,,
1998-04-07,163.2,,,,
1998-04-09,168.25,,,,
1998-04-10,163.65,,,,
1998-04-13,156.5,,,,
1998-04-15,172.15,,,,
1998-04-16,178.05,,,,
1998-04-17,181.1,,,,
1998-04-20,189.65,,,,
1998-04-21,195.5,,,,
1998-04-22,201.75,,,,
1998-04-23,197.5,,,,
1998-04-24,187.6,,,,
1998-04-27,180.45,,,,
1998-04-28,166.05,,,,
1998-04-29,166.1,,,,
1998-04-30,174.85,,,,
1998-05-04,175.2,,,,
1998-05-05,173.35,,,,
1998-05-06,168.35,,,,
1998-05-08,164.05,,,,
1998-05-11,163.8,,,,
1998-05-12,156.05,,,,
1998-05-13,153.1,,,,
1998-05-14,158.15,,,,
1998-05-15,154.4,,,,
1998-05-18,160.85,,,,
1998-05-19,162.95,,,,
1998-05-20,171.55,,,,
1998-05-21,161.45,,,,
1998-05-22,160.85,,,,
1998-05-25,161.3,,,,
1998-05-26,154.85,,,,
1998-05-27,155.45,,,,
1998-05-28,152.45,,,,
1998-05-29,148.0,,,,
1998-06-01,149.4,,,,
1998-06-02,144.55,,,,
1998-06-03,147.8,,,,
1998-06-04,145.6,,,,
1998-06-05,132.65,,,,
1998-06-08,129.9,,,,
1998-06-09,132.25,,,,
1998-06-10,131.0,,,,
1998-06-11,130.65,,,,
1998-06-12,132.4,,,,
1998-06-15,128.0,,,,
1998-06-16,125.35,,,,
1998-06-17,134.1,,,,
1998-06-18,130.6,,,,
1998-06-19,126.4,,,,
1998-06-22,123.2,,,,
1998-06-23,124.55,,,,
1998-06-24,127.4,,,,
1998-06-25,128.9,,,,
1998-06-26,125.5,,,,
1998-06-29,127.8,,,,
1998-06-30,126.9,,,,
1998-07-01,125.3,,,,
1998-07-02,124.3,,,,
1998-07-03,120.95,,,,
1998-07-06,122.7,,,,
1998-07-07,124.05,,,,
1998-07-08,125.1,,,,
1998-07-09,125.05,,,,
1998-07-10,126.15,,,,
1998-07-13,125.85,,,,
1998-07-14,125.15,,,,
1998-07-15,125.2,,,,
1998-07-16,126.7,,,,
1998-07-17,125.75,,,,
1998-07-20,124.55,,,,
1998-07-21,121.55,,,,
1998-07-22,122.5,,,,
1998-07-23,118.3,,,,
1998-07-24,110.1,,,,
1998-07-27,108.75,,,,
1998-07-28,111.85,,,,
1998-07-29,114.15,,,,
1998-07-30,110.3,,,,
1998-07-31,109.75,,,,
1998-08-03,107.0,,,,
1998-08-04,106.0,,,,
1998-08-05,108.65,,,,
1998-08-06,107.55,,,,
1998-08-07,106.1,,,,
1998-08-10,105.8,,,,
1998-08-11,102.95,,,,
1998-08-12,103.6,,,,
1998-08-13,103.4,,,,
1998-08-14,101.85,,,,
1998-08-17,101.85,,,,
1998-08-18,99.75,,,,
1998-08-19,100.45,,,,
1998-08-20,103.45,,,,
1998-08-21,101.05,,,,
1998-08-24,101.35,,,,
1998-08-25,100.9,,,,
1998-08-27,102.25,,,,
1998-08-28,99.15,,,,
1998-08-31,99.8,,,,
1998-09-01,98.0,,,,
1998-09-02,97.5,,,,
1998-09-03,96.25,,,,
1998-09-04,97.4,,,,
1998-09-07,102.4,,,,
1998-09-08,102.85,,,,
1998-09-09,102.95,,,,
1998-09-10,102.55,,,,
1998-09-11,99.5,,,,
1998-09-14,101.4,,,,
1998-09-15,99.45,,,,
1998-09-16,100.35,,,,
1998-09-17,101.4,,,,
1998-09-18,98.95,,,,
1998-09-21,98.5,,,,
1998-09-22,96.8,,,,
1998-09-23,98.3,,,,
1998-09-24,99.8,,,,
1998-09-25,98.9,,,,
1998-09-28,98.55,,,,
1998-09-29,96.4,,,,
1998-09-30,96.35,,,,
1998-10-05,90.45,,,,
1998-10-06,90.9,,,,
1998-10-07,92.0,,,,
1998-10-08,90.15,,,,
1998-10-09,88.75,,,,
1998-10-12,87.1,,,,
1998-10-13,81.75,,,,
1998-10-14,84.25,,,,
1998-10-15,83.0,,,,
1998-10-16,81.5,,,,
1998-10-19,81.3,,,,
1998-10-20,76.2,,,,
1998-10-22,78.0,,,,
1998-10-23,78.8,,,,
1998-10-26,85.1,,,,
1998-10-27,86.15,,,,
1998-10-28,85.1,,,,
1998-10-29,82.75,,,,
1998-10-30,85.1,,,,
1998-10-31,84.0,,,,
1998-11-02,84.05,,,,
1998-11-03,82.0,,,,
1998-11-05,84.0,,,,
1998-11-06,84.1,,,,
1998-11-09,87.65,,,,
1998-11-10,86.5,,,,
1998-11-11,87.15,,,,
1998-11-12,86.05,,,,
1998-11-13,86.4,,,,
1998-11-16,85.65,,,,
1998-11-17,86.9,,,,
1998-11-18,93.85,,,,
1998-11-19,93.5,,,,
1998-11-20,92.35,,,,
1998-11-21,92.8,,,,
1998-11-23,89.45,,,,
1998-11-24,86.7,,,,
1998-11-26,83.1,,,,
1998-11-27,81.2,,,,
1998-11-28,81.65,,,,
1998-11-30,78.0,,,,
1998-12-01,79.65,,,,
1998-12-02,82.9,,,,
1998-12-03,80.15,,,,
1998-12-04,80.8,,,,
1998-12-07,82.95,,,,
1998-12-08,82.8,,,,
1998-12-09,83.2,,,,
1998-12-10,83.0,,,,
1998-12-11,85.75,,,,
1998-12-14,87.75,,,,
1998-12-15,86.1,,,,
1998-12-16,87.5,,,,
1998-12-17,83.7,,,,
1998-12-18,83.35,,,,
1998-12-21,89.0,,,,
1998-12-22,88.95,,,,
1998-12-23,90.25,,,,
1998-12-24,92.5,,,,
1998-12-28,99.9,,,,
1998-12-29,102.95,,,,
1998-12-30,111.2,,,,
1998-12-31,102.3,,,,
1999-01-01,104.25,,,,
1999-01-04,106.0,,,,
1999-01-05,107.25,,,,
1999-01-06,107.0,,,,
1999-01-07,107.9,,,,
1999-01-08,115.05,,,,
1999-01-11,114.5,,,,
1999-01-12,109.6,,,,
1999-01-13,107.5,,,,
1999-01-14,103.0,,,,
1999-01-15,96.75,,,,
1999-01-18,93.95,,,,
1999-01-19,86.45,,,,
1999-01-21,87.8,,,,
1999-01-22,83.9,,,,
1999-01-25,81.95,,,,
1999-01-27,82.6,,,,
1999-01-28,81.25,,,,
1999-01-29,79.1,,,,
1999-02-01,76.5,,,,
1999-02-02,72.9,,,,
1999-02-03,76.0,,,,
1999-02-04,74.0,,,,
1999-02-05,71.65,,,,
1999-02-08,70.45,,,,
1999-02-09,73.0,,,,
1999-02-10,76.5,,,,
1999-02-11,74.55,,,,
1999-02-12,72.65,,,,
1999-02-15,71.65,,,,
1999-02-16,70.5,,,,
1999-02-17,73.5,,,,
1999-02-18,75.1,,,,
1999-02-19,75.0,,,,
1999-02-22,73.05,,,,
1999-02-23,71.55,,,,
1999-02-24,73.9,,,,
1999-02-25,72.7,,,,
1999-02-26,71.0,,,,
1999-02-27,72.2,,,,
1999-03-01,71.25,,,,
1999-03-03,73.0,,,,
1999-03-04,70.25,,,,
1999-03-05,69.3,,,,
1999-03-08,64.9,,,,
1999-03-09,64.5,,,,
1999-03-10,69.3,,,,
1999-03-11,67.6,,,,
1999-03-12,66.5,,,,
1999-03-15,65.05,,,,
1999-03-16,70.25,,,,
1999-03-17,75.9,,,,
1999-03-18,82.0,,,,
1999-03-19,82.75,,,,
1999-03-20,82.25,,,,
1999-03-22,76.3,,,,
1999-03-23,73.5,,,,
1999-03-24,73.8,,,,
1999-03-25,72.6,,,,
1999-03-26,70.0,,,,
1999-03-30,68.25,,,,
1999-03-31,72.25,,,,
1999-04-01,70.5,,,,
1999-04-05,66.5,,,,
1999-04-06,67.0,,,,
1999-04-07,66.5,,,,
1999-04-08,66.25,,,,
1999-04-09,62.8,,,,
1999-04-12,63.4,,,,
1999-04-13,61.0,,,,
1999-04-15,60.85,,,,
1999-04-16,65.75,,,,
1999-04-17,60.5,,,,
1999-04-19,61.0,,,,
1999-04-20,59.25,,,,
1999-04-21,60.0,,,,
1999-04-22,59.0,,,,
1999-04-23,58.35,,,,
1999-04-26,53.7,,,,
1999-04-28,56.65,,,,
1999-04-29,56.1,,,,
1999-04-30,60.6,,,,
1999-05-03,57.6,,,,
1999-05-04,60.0,,,,
1999-05-05,59.5,,,,
1999-05-06,61.0,,,,
1999-05-07,60.0,,,,
1999-05-10,63.5,,,,
1999-05-11,68.6,,,,
1999-05-12,68.0,,,,
1999-05-13,70.0,,,,
1999-05-14,70.3,,,,
1999-05-17,70.25,,,,
1999-05-18,75.9,,,,
1999-05-19,78.15,,,,
1999-05-20,73.0,,,,
1999-05-21,68.6,,,,
1999-05-24,69.7,,,,
1999-05-25,73.0,,,,
1999-05-26,70.2,,,,
1999-05-27,65.0,,,,
1999-05-28,61.25,,,,
1999-05-31,64.95,,,,
1999-06-01,63.3,,,,
1999-06-02,63.0,,,,
1999-06-03,62.85,,,,
1999-06-04,66.25,,,,
1999-06-07,71.0,,,,
1999-06-08,76.7,,,,
1999-06-09,70.6,,,,
1999-06-10,70.1,,,,
1999-06-11,67.95,,,,
1999-06-14,65.8,,,,
1999-06-15,66.4,,,,
1999-06-16,68.85,,,,
1999-06-17,70.0,,,,
1999-06-18,73.2,,,,
1999-06-21,79.1,,,,
1999-06-22,79.15,,,,
1999-06-23,76.55,,,,
1999-06-24,74.8,,,,
1999-06-25,75.45,,,,
1999-06-28,76.8,,,,
1999-06-29,78.55,,,,
1999-06-30,78.2,,,,
1999-07-01,77.05,,,,
1999-07-02,79.3,,,,
1999-07-05,82.95,,,,
1999-07-06,83.05,,,,
1999-07-07,78.9,,,,
1999-07-08,78.4,,,,
1999-07-09,78.15,,,,
1999-07-12,83.9,,,,
1999-07-13,89.5,,,,
1999-07-14,87.4,,,,
1999-07-15,85.35,,,,
1999-07-16,78.55,,,,
1999-07-19,76.05,,,,
1999-07-20,74.05,,,,
1999-07-21,74.2,,,,
1999-07-22,71.0,,,,
1999-07-23,70.05,,,,
1999-07-26,67.95,,,,
1999-07-27,65.8,,,,
1999-07-28,67.5,,,,
1999-07-29,68.25,,,,
1999-07-30,66.25,,,,
1999-08-02,64.95,,,,
1999-08-03,62.75,,,,
1999-08-04,65.75,,,,
1999-08-05,63.8,,,,
1999-08-06,63.5,,,,
1999-08-09,66.6,,,,
1999-08-10,65.3,,,,
1999-08-11,65.1,,,,
1999-08-12,69.1,,,,
1999-08-13,74.65,,,,
1999-08-16,74.1,,,,
1999-08-17,73.9,,,,
1999-08-18,79.85,,,,
1999-08-19,74.2,,,,
1999-08-20,74.5,,,,
